Sun Nov 27 19:55:08 2016 : 0, occupied; 
Sun Nov 27 19:55:17 2016 : 0, occupied; 
Mon Nov 28 15:05:17 2016 : 
Mon Nov 28 21:27:31 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:27:41 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:27:51 2016 : 0, occupied; 1, occupied; 2, empty; 
Mon Nov 28 21:28:01 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:28:11 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:28:21 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:28:32 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:28:42 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:28:52 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:29:02 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:29:12 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:29:22 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:29:32 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:29:42 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:29:52 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:30:02 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:30:12 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:30:22 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:30:32 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:30:42 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:30:52 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:31:03 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:31:12 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:31:22 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:31:32 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:31:43 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:31:53 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:32:03 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:32:13 2016 : 0, occupied; 1, occupied; 2, empty; 
Mon Nov 28 21:32:23 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:32:33 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:32:43 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:32:53 2016 : 0, occupied; 1, occupied; 2, empty; 
Mon Nov 28 21:33:03 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:33:13 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:33:23 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:33:33 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:33:43 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:33:53 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:34:03 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:34:13 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:34:24 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:34:33 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:34:44 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:34:54 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:35:04 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:35:14 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:35:24 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:35:34 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:35:44 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:35:54 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:36:04 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:36:14 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:36:24 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:36:34 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:36:44 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:36:54 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:37:04 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:37:14 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:37:24 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:37:34 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:37:44 2016 : 0, occupied; 1, occupied; 2, empty; 
Mon Nov 28 21:37:54 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:38:04 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:38:14 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:38:24 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:38:35 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:38:45 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:38:55 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:39:05 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:39:15 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:39:25 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:39:35 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:39:45 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:39:55 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:40:05 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:40:15 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:40:25 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:40:35 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:40:45 2016 : 0, occupied; 1, occupied; 2, occupied; 
Mon Nov 28 21:40:55 2016 : 0, occupied; 1, occupied; 2, occupied; 
